study_accession	sample_accession	analysis_accession	analysis_type	tax_id	scientific_name	submitted_ftp
PRJEB26925	SAMN05826986	ERZ651951	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651951/SRR4408002.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651951/ERZ651951.md5
PRJEB26925	SAMN05827167	ERZ651952	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651952/SRR4408094.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651952/ERZ651952.md5
PRJEB26925	SAMN05827033	ERZ651953	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651953/ERZ651953.md5;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651953/SRR4408237.fasta.gz
PRJEB26925	SAMN05827231	ERZ651954	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651954/SRR4408172.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651954/ERZ651954.md5
PRJEB26925	SAMN05827088	ERZ651955	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651955/ERZ651955.md5;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651955/SRR4408007.fasta.gz
PRJEB26925	SAMN05827165	ERZ651956	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651956/SRR4408092.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651956/ERZ651956.md5
PRJEB26925	SAMN05826999	ERZ651957	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651957/ERZ651957.md5;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651957/SRR4408047.fasta.gz
PRJEB26925	SAMN05827243	ERZ651958	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651958/SRR4408185.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651958/ERZ651958.md5
PRJEB26925	SAMN05827018	ERZ651959	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651959/ERZ651959.md5;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651959/SRR4408221.fasta.gz
PRJEB26925	SAMN05827087	ERZ651960	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651960/SRR4408006.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651960/ERZ651960.md5
PRJEB26925	SAMN05827065	ERZ651961	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651961/ERZ651961.md5;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651961/SRR4408273.fasta.gz
PRJEB26925	SAMN05827082	ERZ651962	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651962/SRR4408291.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651962/ERZ651962.md5
PRJEB26925	SAMN05827003	ERZ651963	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651963/ERZ651963.md5;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651963/SRR4408091.fasta.gz
PRJEB26925	SAMN05827189	ERZ651964	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651964/SRR4408126.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651964/ERZ651964.md5
PRJEB26925	SAMN05827162	ERZ651965	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651965/SRR4408088.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651965/ERZ651965.md5
PRJEB26925	SAMN05827037	ERZ651966	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651966/SRR4408242.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651966/ERZ651966.md5
PRJEB26925	SAMN05826994	ERZ651967	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651967/SRR4408283.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651967/ERZ651967.md5
PRJEB26925	SAMN05827169	ERZ651968	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651968/SRR4408096.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651968/ERZ651968.md5
PRJEB26925	SAMN05827235	ERZ651969	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651969/SRR4408177.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651969/ERZ651969.md5
PRJEB26925	SAMN05827126	ERZ651970	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651970/SRR4408049.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651970/ERZ651970.md5
PRJEB26925	SAMN05827020	ERZ651971	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651971/ERZ651971.md5;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651971/SRR4408223.fasta.gz
PRJEB26925	SAMN05827069	ERZ651972	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651972/ERZ651972.md5;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651972/SRR4408277.fasta.gz
PRJEB26925	SAMN05827142	ERZ651973	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651973/SRR4408066.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651973/ERZ651973.md5
PRJEB26925	SAMN05827017	ERZ651974	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651974/ERZ651974.md5;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651974/SRR4408220.fasta.gz
PRJEB26925	SAMN05827005	ERZ651975	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651975/SRR4408121.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651975/ERZ651975.md5
PRJEB26925	SAMN05827233	ERZ651976	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651976/ERZ651976.md5;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651976/SRR4408174.fasta.gz
PRJEB26925	SAMN05827016	ERZ651977	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651977/SRR4408219.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651977/ERZ651977.md5
PRJEB26925	SAMN05827183	ERZ651978	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651978/ERZ651978.md5;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651978/SRR4408118.fasta.gz
PRJEB26925	SAMN05827055	ERZ651979	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651979/SRR4408262.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651979/ERZ651979.md5
PRJEB26925	SAMN05827067	ERZ651980	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651980/SRR4408275.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651980/ERZ651980.md5
PRJEB26925	SAMN05827226	ERZ651981	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651981/SRR4408167.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651981/ERZ651981.md5
PRJEB26925	SAMN05827091	ERZ651982	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651982/ERZ651982.md5;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651982/SRR4408010.fasta.gz
PRJEB26925	SAMN05827170	ERZ651983	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651983/SRR4408097.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651983/ERZ651983.md5
PRJEB26925	SAMN05827249	ERZ651984	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651984/ERZ651984.md5;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651984/SRR4408192.fasta.gz
PRJEB26925	SAMN05827188	ERZ651985	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651985/ERZ651985.md5;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651985/SRR4408125.fasta.gz
PRJEB26925	SAMN05827089	ERZ651986	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651986/SRR4408008.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651986/ERZ651986.md5
PRJEB26925	SAMN05827146	ERZ651987	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651987/ERZ651987.md5;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651987/SRR4408071.fasta.gz
PRJEB26925	SAMN05827092	ERZ651988	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651988/SRR4408011.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651988/ERZ651988.md5
PRJEB26925	SAMN05827265	ERZ651989	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651989/ERZ651989.md5;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651989/SRR4408210.fasta.gz
PRJEB26925	SAMN05827031	ERZ651990	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651990/SRR4408235.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651990/ERZ651990.md5
PRJEB26925	SAMN05827110	ERZ651991	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651991/SRR4408031.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651991/ERZ651991.md5
PRJEB26925	SAMN05827050	ERZ651992	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651992/SRR4408256.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651992/ERZ651992.md5
PRJEB26925	SAMN05827074	ERZ651993	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651993/SRR4408282.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651993/ERZ651993.md5
PRJEB26925	SAMN05827220	ERZ651994	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651994/ERZ651994.md5;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651994/SRR4408160.fasta.gz
PRJEB26925	SAMN05827021	ERZ651995	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651995/ERZ651995.md5;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651995/SRR4408224.fasta.gz
PRJEB26925	SAMN05827002	ERZ651996	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651996/SRR4408080.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651996/ERZ651996.md5
PRJEB26925	SAMN05827244	ERZ651997	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651997/ERZ651997.md5;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651997/SRR4408186.fasta.gz
PRJEB26925	SAMN05827039	ERZ651998	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651998/ERZ651998.md5;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651998/SRR4408244.fasta.gz
PRJEB26925	SAMN05827152	ERZ651999	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651999/SRR4408077.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651999/ERZ651999.md5
PRJEB26925	SAMN05827001	ERZ652000	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652000/SRR4408069.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652000/ERZ652000.md5
PRJEB26925	SAMN05827004	ERZ652001	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652001/ERZ652001.md5;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652001/SRR4408102.fasta.gz
PRJEB26925	SAMN05827134	ERZ652002	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652002/SRR4408057.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652002/ERZ652002.md5
PRJEB26925	SAMN05827035	ERZ652003	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652003/ERZ652003.md5;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652003/SRR4408240.fasta.gz
PRJEB26925	SAMN05827133	ERZ652004	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652004/SRR4408056.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652004/ERZ652004.md5
PRJEB26925	SAMN05827253	ERZ652005	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652005/ERZ652005.md5;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652005/SRR4408196.fasta.gz
PRJEB26925	SAMN05827224	ERZ652006	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652006/SRR4408164.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652006/ERZ652006.md5
PRJEB26925	SAMN05827062	ERZ652007	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652007/SRR4408269.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652007/ERZ652007.md5
PRJEB26925	SAMN05827260	ERZ652008	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652008/SRR4408204.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652008/ERZ652008.md5
PRJEB26925	SAMN05827259	ERZ652009	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652009/ERZ652009.md5;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652009/SRR4408203.fasta.gz
PRJEB26925	SAMN05827141	ERZ652010	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652010/SRR4408065.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652010/ERZ652010.md5
PRJEB26925	SAMN05827111	ERZ652011	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652011/ERZ652011.md5;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652011/SRR4408032.fasta.gz
PRJEB26925	SAMN05827252	ERZ652012	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652012/SRR4408195.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652012/ERZ652012.md5
PRJEB26925	SAMN05827096	ERZ652013	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652013/ERZ652013.md5;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652013/SRR4408016.fasta.gz
PRJEB26925	SAMN05827042	ERZ652014	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652014/ERZ652014.md5;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652014/SRR4408247.fasta.gz
PRJEB26925	SAMN05827034	ERZ652015	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652015/ERZ652015.md5;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652015/SRR4408238.fasta.gz
PRJEB26925	SAMN05827024	ERZ652016	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652016/SRR4408227.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652016/ERZ652016.md5
PRJEB26925	SAMN05827115	ERZ652017	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652017/ERZ652017.md5;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652017/SRR4408037.fasta.gz
PRJEB26925	SAMN05827131	ERZ652018	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652018/SRR4408054.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652018/ERZ652018.md5
PRJEB26925	SAMN05827198	ERZ652019	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652019/ERZ652019.md5;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652019/SRR4408136.fasta.gz
PRJEB26925	SAMN05826989	ERZ652020	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652020/ERZ652020.md5;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652020/SRR4408228.fasta.gz
PRJEB26925	SAMN05827014	ERZ652021	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652021/SRR4408216.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652021/ERZ652021.md5
PRJEB26925	SAMN05827158	ERZ652022	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652022/SRR4408084.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652022/ERZ652022.md5
PRJEB26925	SAMN05827019	ERZ652023	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652023/SRR4408222.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652023/ERZ652023.md5
PRJEB26925	SAMN05827147	ERZ652024	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652024/ERZ652024.md5;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652024/SRR4408072.fasta.gz
PRJEB26925	SAMN05827008	ERZ652025	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652025/SRR4408154.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652025/ERZ652025.md5
PRJEB26925	SAMN05827266	ERZ652026	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652026/SRR4408211.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652026/ERZ652026.md5
PRJEB26925	SAMN05827023	ERZ652027	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652027/ERZ652027.md5;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652027/SRR4408226.fasta.gz
PRJEB26925	SAMN05827137	ERZ652028	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652028/ERZ652028.md5;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652028/SRR4408061.fasta.gz
PRJEB26925	SAMN05827106	ERZ652029	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652029/SRR4408027.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652029/ERZ652029.md5
PRJEB26925	SAMN05827094	ERZ652030	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652030/ERZ652030.md5;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652030/SRR4408013.fasta.gz
PRJEB26925	SAMN05827172	ERZ652031	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652031/SRR4408099.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652031/ERZ652031.md5
PRJEB26925	SAMN05827030	ERZ652032	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652032/ERZ652032.md5;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652032/SRR4408234.fasta.gz
PRJEB26925	SAMN05827174	ERZ652033	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652033/SRR4408101.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652033/ERZ652033.md5
PRJEB26925	SAMN05827223	ERZ652034	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652034/ERZ652034.md5;ftp.sra.ebi.ac.uk/vol1/ERZ652/ERZ652034/SRR4408163.fasta.gz
