Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Description,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,title
ERR2493570,b2n1r01s,AMPLICON,502,96667128,PRJEB20603,SAMEA1045850,51583340,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",internode sample for the ecotype b2n1,ERC000011,2018-04-03,2018-11-16,ERX2512923,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045850,ERS2352200,ERS2352200,ERP022772,First internode on the first stolon of the mother ramet
ERR2493571,b2n1sto1r1r,AMPLICON,502,73736772,PRJEB20603,SAMEA1045851,40769600,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",root sample for the ecotype b2n1,ERC000011,2018-04-03,2018-11-16,ERX2512924,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045851,ERS2352201,ERS2352201,ERP022772,First daughter ramet roots on the first stolon
ERR2493572,b2n1sto1r1s,AMPLICON,502,67051638,PRJEB20603,SAMEA1045852,35630137,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",internode sample for the ecotype b2n1,ERC000011,2018-04-03,2018-11-16,ERX2512925,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045852,ERS2352202,ERS2352202,ERP022772,Internode of the first daughter ramet on the first stolon
ERR2493573,b2n1_sto1_r2r,AMPLICON,502,80850112,PRJEB20603,SAMEA1045853,44411334,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",root sample for the ecotype b2n1,ERC000011,2018-04-03,2018-11-16,ERX2512926,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045853,ERS2352203,ERS2352203,ERP022772,Second daughter ramet roots on the first stolon
ERR2493574,b2n1r02s,AMPLICON,502,73480752,PRJEB20603,SAMEA1045854,39380348,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",internode sample for the ecotype b2n1,ERC000011,2018-04-03,2018-11-16,ERX2512927,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045854,ERS2352204,ERS2352204,ERP022772,First Internode on the second stolon of the mother ramet
ERR2493575,b2n1_sto2_r1r,AMPLICON,502,90016632,PRJEB20603,SAMEA1045855,48658968,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",root sample for the ecotype b2n1,ERC000011,2018-04-03,2018-11-16,ERX2512928,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045855,ERS2352205,ERS2352205,ERP022772,First daughter ramet roots on the second stolon
ERR2493576,b2n1sto2r1s,AMPLICON,502,39529488,PRJEB20603,SAMEA1045856,20532186,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",internode sample for the ecotype b2n1,ERC000011,2018-04-03,2018-11-16,ERX2512929,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045856,ERS2352206,ERS2352206,ERP022772,Internode of the first daughter ramet on the second stolon
ERR2493577,b2n1_sto_2_r2r,AMPLICON,502,58278686,PRJEB20603,SAMEA1045857,31066034,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",root sample for the ecotype b2n1,ERC000011,2018-04-03,2018-11-16,ERX2512930,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045857,ERS2352207,ERS2352207,ERP022772,Second daughter ramet roots on the second stolon
ERR2493578,P1n1R0R,AMPLICON,502,46670940,PRJEB20603,SAMEA1045858,26182469,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",root sample for the ecotype p1n1,ERC000011,2018-04-03,2018-11-16,ERX2512931,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045858,ERS2352208,ERS2352208,ERP022772,Mother ramet root sample
ERR2493579,p1n1r01s,AMPLICON,502,81564458,PRJEB20603,SAMEA1045859,44039904,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",internode sample for the ecotype p1n1,ERC000011,2018-04-03,2018-11-16,ERX2512932,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045859,ERS2352209,ERS2352209,ERP022772,First internode on the first stolon of the mother ramet
ERR2493580,p1n1_sto1_r1r,AMPLICON,502,78670428,PRJEB20603,SAMEA1045860,42429044,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",root sample for the ecotype p1n1,ERC000011,2018-04-03,2018-11-16,ERX2512933,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045860,ERS2352210,ERS2352210,ERP022772,First daughter ramet roots on the first stolon
ERR2493581,p1n1sto1_r1s,AMPLICON,502,19897774,PRJEB20603,SAMEA1045861,10348765,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",internode sample for the ecotype p1n1,ERC000011,2018-04-03,2018-11-16,ERX2512934,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045861,ERS2352211,ERS2352211,ERP022772,Internode of the first daughter ramet on the first stolon
ERR2493582,p1n1_sto1_r2r,AMPLICON,502,61584858,PRJEB20603,SAMEA1045862,32512307,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",root sample for the ecotype p1n1,ERC000011,2018-04-03,2018-11-16,ERX2512935,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045862,ERS2352212,ERS2352212,ERP022772,Second daughter ramet roots on the first stolon
ERR2493583,p1n1r02s,AMPLICON,502,73986768,PRJEB20603,SAMEA1045863,37551337,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",internode sample for the ecotype p1n1,ERC000011,2018-04-03,2018-11-16,ERX2512936,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045863,ERS2352213,ERS2352213,ERP022772,First Internode on the second stolon of the mother ramet
ERR2493584,p1n1_sto2_r1r,AMPLICON,502,95301186,PRJEB20603,SAMEA1045864,52202563,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",root sample for the ecotype p1n1,ERC000011,2018-04-03,2018-11-16,ERX2512937,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045864,ERS2352214,ERS2352214,ERP022772,First daughter ramet roots on the second stolon
ERR2493585,p1n1sto2r1s,AMPLICON,502,55081448,PRJEB20603,SAMEA1045865,28073955,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",internode sample for the ecotype p1n1,ERC000011,2018-04-03,2018-11-16,ERX2512938,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045865,ERS2352215,ERS2352215,ERP022772,Internode of the first daughter ramet on the second stolon
ERR2493586,p1n1_sto2_r2r,AMPLICON,502,115251168,PRJEB20603,SAMEA1045866,59571367,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",root sample for the ecotype p1n1,ERC000011,2018-04-03,2018-11-16,ERX2512939,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045866,ERS2352216,ERS2352216,ERP022772,Second daughter ramet roots on the second stolon
ERR2493587,r1n1_ROR,AMPLICON,502,29037688,PRJEB20603,SAMEA1045867,15500304,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",root sample for the ecotype r1n1,ERC000011,2018-04-03,2018-11-16,ERX2512940,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045867,ERS2352217,ERS2352217,ERP022772,Mother ramet root sample
ERR2493588,r1n1r01s,AMPLICON,502,31074804,PRJEB20603,SAMEA1045868,16339970,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",internode sample for the ecotype r1n1,ERC000011,2018-04-03,2018-11-16,ERX2512941,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045868,ERS2352218,ERS2352218,ERP022772,First internode on the first stolon of the mother ramet
ERR2493589,r1n1_sto1_r1r,AMPLICON,502,54975526,PRJEB20603,SAMEA1045869,28750491,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",root sample for the ecotype r1n1,ERC000011,2018-04-03,2018-11-16,ERX2512942,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045869,ERS2352219,ERS2352219,ERP022772,First daughter ramet roots on the first stolon
ERR2493590,r1n1sto1_r1s,AMPLICON,502,99562664,PRJEB20603,SAMEA1045870,49853257,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",internode sample for the ecotype r1n1,ERC000011,2018-04-03,2018-11-16,ERX2512943,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045870,ERS2352220,ERS2352220,ERP022772,Internode of the first daughter ramet on the first stolon
ERR2493591,r1n1_sto1_r2r,AMPLICON,502,60557766,PRJEB20603,SAMEA1045871,31959986,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",root sample for the ecotype r1n1,ERC000011,2018-04-03,2018-11-16,ERX2512944,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045871,ERS2352221,ERS2352221,ERP022772,Second daughter ramet roots on the first stolon
ERR2493592,r1n1r02s,AMPLICON,502,54025240,PRJEB20603,SAMEA1045872,30005488,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",internode sample for the ecotype r1n1,ERC000011,2018-04-03,2018-11-16,ERX2512945,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045872,ERS2352222,ERS2352222,ERP022772,First Internode on the second stolon of the mother ramet
ERR2493593,r1n1sto2_r1r,AMPLICON,502,34568222,PRJEB20603,SAMEA1045873,19109294,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",root sample for the ecotype r1n1,ERC000011,2018-04-03,2018-11-16,ERX2512946,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045873,ERS2352223,ERS2352223,ERP022772,First daughter ramet roots on the second stolon
ERR2493594,r1n1sto2r1s,AMPLICON,502,49352624,PRJEB20603,SAMEA1045874,25817031,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",internode sample for the ecotype r1n1,ERC000011,2018-04-03,2018-11-16,ERX2512947,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045874,ERS2352224,ERS2352224,ERP022772,Internode of the first daughter ramet on the second stolon
ERR2493595,r1n1_sto2_r2r,AMPLICON,502,55187370,PRJEB20603,SAMEA1045875,29576764,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",root sample for the ecotype r1n1,ERC000011,2018-04-03,2018-11-16,ERX2512948,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045875,ERS2352225,ERS2352225,ERP022772,Second daughter ramet roots on the second stolon
ERR2493596,R2n1R0R,AMPLICON,502,86313880,PRJEB20603,SAMEA1045876,48059869,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",root sample for the ecotype r2n1,ERC000011,2018-04-03,2018-11-16,ERX2512949,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045876,ERS2352226,ERS2352226,ERP022772,Mother ramet root sample
ERR2493597,r2n1r01s,AMPLICON,502,83508704,PRJEB20603,SAMEA1045877,44997659,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",internode sample for the ecotype r2n1,ERC000011,2018-04-03,2018-11-16,ERX2512950,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045877,ERS2352227,ERS2352227,ERP022772,First internode on the first stolon of the mother ramet
ERR2493598,r2n1_st01_r1r,AMPLICON,502,50173896,PRJEB20603,SAMEA1045878,27148869,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",root sample for the ecotype r2n1,ERC000011,2018-04-03,2018-11-16,ERX2512951,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045878,ERS2352228,ERS2352228,ERP022772,First daughter ramet roots on the first stolon
ERR2493599,r2n1sto1_r1s,AMPLICON,502,46933486,PRJEB20603,SAMEA1045879,24938940,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",internode sample for the ecotype r2n1,ERC000011,2018-04-03,2018-11-16,ERX2512952,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045879,ERS2352229,ERS2352229,ERP022772,Internode of the first daughter ramet on the first stolon
